Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10
0.01,0.962318361,0.01,0.8562262,0.055439406,0.894916306,0.889965189,0.524196549,0.071441391,0.944658911
0.67543845,0.01,0.042471677,0.901569395,0.045251972,0.867342806,0.965065262,0.538952066,0.089219179,0.871119877
0.174993426,0.863951829,0.01,0.876890223,0.020326708,0.808896259,0.845792322,0.429156519,0.047152941,0.890351212
0.130755875,0.860881655,0.077295308,0.047878649,0.093501056,0.991433578,0.861263769,0.439426302,0.048643718,0.814055259
0.11595115,0.781169453,0.093617138,0.908610041,0.056532323,0.894211541,0.825201938,0.494394791,0.055509525,0.795242116
0.163525247,0.913413592,0.034369693,0.863542772,0.120623457,0.07869378,1,0.445285031,0.165882188,0.865868437
0.626490241,0.23095636,0.899678901,0.094894582,0.851467003,0.876356489,0.01,0.917787545,0.530743743,0.01
0.13151297,0.924073026,0.087197843,0.868298648,0.153060444,0.898025281,0.902695221,0.01,0.142372828,0.806710677
0.157648032,0.802803112,0.01,0.872673717,0.06858242,0.781373787,0.885002982,0.45762065,0.01,0.899342736
0.074985133,0.871681971,0.014180281,0.92249178,0.031892835,0.895232319,0.880275229,0.451405874,0.606318503,0.036285379
